reference_date,location,horizon,model,target_end_date,truth,point,wis,mae,persistence_mae
2024-11-23,12,3,ensemble,2024-12-14,872.0,501.0,209.7986956521739,371.0,497.0
2024-11-23,12,3,baseline,2024-12-14,872.0,324.0,392.7134782608696,548.0,497.0
2024-11-23,13,1,ensemble,2024-11-30,56.0,63.0,8.460434782608697,7.0,12.0
2024-11-23,13,1,baseline,2024-11-30,56.0,39.0,12.367826086956523,17.0,12.0
2024-11-23,13,2,ensemble,2024-12-07,88.0,77.0,13.888695652173915,11.0,44.0
2024-11-23,13,2,baseline,2024-12-07,88.0,39.0,26.306086956521742,49.0,44.0
2024-11-23,13,3,ensemble,2024-12-14,214.0,90.0,64.54521739130435,124.0,170.0
2024-11-23,13,3,baseline,2024-12-14,214.0,39.0,101.2304347826087,175.0,170.0
2024-11-23,15,1,ensemble,2024-11-30,14.0,16.0,1.7799999999999998,2.0,1.0
2024-11-23,15,1,baseline,2024-11-30,14.0,15.0,1.575217391304348,1.0,1.0
2024-11-23,15,2,ensemble,2024-12-07,20.0,16.0,2.629565217391305,4.0,5.0
2024-11-23,15,2,baseline,2024-12-07,20.0,15.0,2.9430434782608694,5.0,5.0
2024-11-23,15,3,ensemble,2024-12-14,34.0,17.0,10.13173913043478,17.0,19.0
2024-11-23,15,3,baseline,2024-12-14,34.0,15.0,11.353043478260872,19.0,19.0
2024-11-23,16,1,ensemble,2024-11-30,63.0,18.0,32.84434782608695,45.0,51.0
2024-11-23,16,1,baseline,2024-11-30,63.0,12.0,32.67260869565217,51.0,51.0
2024-11-23,16,2,ensemble,2024-12-07,77.0,22.0,37.786086956521736,55.0,65.0
2024-11-23,16,2,baseline,2024-12-07,77.0,12.0,40.12608695652174,65.0,65.0
2024-11-23,16,3,ensemble,2024-12-14,107.0,27.0,57.19999999999999,80.0,95.0
2024-11-23,16,3,baseline,2024-12-14,107.0,12.0,60.39260869565217,95.0,95.0
2024-11-23,17,1,ensemble,2024-11-30,83.0,53.0,16.51782608695652,30.0,49.0
2024-11-23,17,1,baseline,2024-11-30,83.0,25.0,31.23173913043478,58.0,49.0
2024-11-23,17,2,ensemble,2024-12-07,106.0,68.0,20.522608695652178,38.0,72.0
2024-11-23,17,2,baseline,2024-12-07,106.0,25.0,41.073043478260864,81.0,72.0
2024-11-23,17,3,ensemble,2024-12-14,240.0,84.0,94.10478260869567,156.0,206.0
2024-11-23,17,3,baseline,2024-12-14,240.0,25.0,123.88869565217392,215.0,206.0
2024-11-23,18,1,ensemble,2024-11-30,41.0,49.0,7.857826086956521,8.0,15.0
