model,reference_date,location,horizon,target_end_date,truth,point,wis,mae,persistence_mae
ensemble,2023-10-14,22,1,2023-10-21,31.0,19.623122639656067,6.844467371460405,11.376877360343933,12.0
ensemble,2023-10-14,22,2,2023-10-28,46.0,19.0,17.092628618240852,27.0,27.0
ensemble,2023-10-14,22,3,2023-11-04,40.0,19.7,10.509981983846586,20.3,21.0
ensemble,2023-10-14,23,1,2023-10-21,2.0,1.9999999999999991,0.7091795759588969,8.881784197001252e-16,3.0
ensemble,2023-10-14,23,2,2023-10-28,4.0,2.0562141346931453,1.037163560502373,1.9437858653068547,1.0
ensemble,2023-10-14,23,3,2023-11-04,1.0,1.958747864065608,1.0633156099349355,0.958747864065608,4.0
ensemble,2023-10-14,24,1,2023-10-21,9.0,4.993874127599956,2.1135414034556192,4.006125872400044,6.0
ensemble,2023-10-14,24,2,2023-10-28,10.0,5.668641758630044,2.473289138431467,4.331358241369956,7.0
ensemble,2023-10-14,24,3,2023-11-04,15.0,5.545,4.5273291703243,9.455,12.0
ensemble,2023-10-14,25,1,2023-10-21,14.0,20.082862756176063,4.281499204087437,6.082862756176063,0.0
ensemble,2023-10-14,25,2,2023-10-28,28.0,22.92544233789864,5.588713807575097,5.074557662101359,14.0
ensemble,2023-10-14,25,3,2023-11-04,30.0,26.3681508410682,7.446076838439577,3.6318491589318,16.0
ensemble,2023-10-14,26,1,2023-10-21,21.0,15.75,4.149054970423217,5.25,4.0
ensemble,2023-10-14,26,2,2023-10-28,12.0,18.75,6.049694141518245,6.75,5.0
ensemble,2023-10-14,26,3,2023-11-04,34.0,18.45,8.828595969719103,15.55,17.0
ensemble,2023-10-14,27,1,2023-10-21,4.0,3.944894933037213,1.117527642064462,0.05510506696278705,1.0
ensemble,2023-10-14,27,2,2023-10-28,4.0,4.264520804901699,1.432958068933809,0.26452080490169916,1.0
ensemble,2023-10-14,27,3,2023-11-04,9.0,4.41853315222093,2.6122242865194223,4.58146684777907,6.0
ensemble,2023-10-14,28,1,2023-10-21,20.0,22.0,4.939804881053743,2.0,9.0
ensemble,2023-10-14,28,2,2023-10-28,18.0,24.0,5.7004544989837855,6.0,11.0
ensemble,2023-10-14,28,3,2023-11-04,30.0,25.0,7.176152757037626,5.0,1.0
ensemble,2023-10-14,29,1,2023-10-21,17.0,16.41857846804197,3.0639773861157202,0.5814215319580285,7.0
ensemble,2023-10-14,29,2,2023-10-28,17.0,18.0,3.9225560354768776,1.0,7.0
ensemble,2023-10-14,29,3,2023-11-04,24.0,19.0,4.977838870131423,5.0,0.0
ensemble,2023-10-14,30,1,2023-10-21,1.0,4.427165,1.8189388370595367,3.4271649999999996,1.0
ensemble,2023-10-14,30,2,2023-10-28,0.0,5.0,2.981965776576963,5.0,0.0
ensemble,2023-10-14,30,3,2023-11-04,1.0,4.9,2.591293454737802,3.9000000000000004,1.0
ensemble,2023-10-14,31,1,2023-10-21,8.0,4.0,2.0811056989316628,4.0,3.0
ensemble,2023-10-14,31,2,2023-10-28,7.0,3.898334886772269,2.279772358333478,3.101665113227731,2.0
ensemble,2023-10-14,31,3,2023-11-04,5.0,5.0038354269823895,1.993289336886878,0.003835426982389478,0.0
ensemble,2023-10-14,32,1,2023-10-21,7.0,7.86,1.6862841747637822,0.8600000000000003,2.0
ensemble,2023-10-14,32,2,2023-10-28,8.0,7.86,2.056781542183262,0.13999999999999968,3.0
ensemble,2023-10-14,32,3,2023-11-04,13.0,9.999999999999996,3.339754744087049,3.0000000000000036,8.0
ensemble,2023-10-14,33,1,2023-10-21,0.0,2.0,1.2296672286131307,2.0,2.0
ensemble,2023-10-14,33,2,2023-10-28,2.0,2.442874681560808,0.8830563280328849,0.442874681560808,0.0
ensemble,2023-10-14,33,3,2023-11-04,2.0,2.207341853925512,0.8680647772486315,0.20734185392551208,0.0
ensemble,2023-10-14,34,1,2023-10-21,33.0,19.59380167859404,6.700179596538434,13.40619832140596,16.0
ensemble,2023-10-14,34,2,2023-10-28,44.0,22.85445,9.777267882094886,21.14555,27.0
ensemble,2023-10-14,34,3,2023-11-04,26.0,24.3,7.20383226863836,1.6999999999999993,9.0
ensemble,2023-10-14,35,1,2023-10-21,2.0,7.286324464875417,3.2543541694220663,5.286324464875417,4.0
ensemble,2023-10-14,35,2,2023-10-28,2.0,7.343297069708717,3.8843099553630287,5.343297069708717,4.0
ensemble,2023-10-14,35,3,2023-11-04,10.0,7.945,2.73244103808439,2.0549999999999997,4.0
ensemble,2023-10-14,36,1,2023-10-21,37.0,54.85241820981352,12.910540408815168,17.85241820981352,0.0
ensemble,2023-10-14,36,2,2023-10-28,48.0,63.92384024620056,14.395717573119718,15.923840246200562,11.0
ensemble,2023-10-14,36,3,2023-11-04,57.0,73.26438653719136,17.60240046430813,16.264386537191356,20.0
ensemble,2023-10-14,37,1,2023-10-21,17.0,17.835,3.9141899477054536,0.8350000000000009,20.0
ensemble,2023-10-14,37,2,2023-10-28,20.0,20.62,4.733984876360693,0.620000000000001,17.0
ensemble,2023-10-14,37,3,2023-11-04,40.0,22.0,9.763054506396633,18.0,3.0
ensemble,2023-10-14,38,1,2023-10-21,1.0,3.0,1.275671351630074,2.0,1.0
ensemble,2023-10-14,38,2,2023-10-28,1.0,3.75,1.6776456258695351,2.75,1.0
ensemble,2023-10-14,38,3,2023-11-04,0.0,4.181378886656523,2.3877519618874494,4.181378886656523,0.0
ensemble,2023-10-14,39,1,2023-10-21,25.0,20.57965019881725,4.681855562099889,4.4203498011827485,7.0
ensemble,2023-10-14,39,2,2023-10-28,17.0,24.05175737819116,6.358857759988461,7.051757378191159,1.0
ensemble,2023-10-14,39,3,2023-11-04,21.0,25.032983081133438,7.2506633067894395,4.0329830811334375,3.0
ensemble,2023-10-14,40,1,2023-10-21,22.0,28.0,4.563951958399442,6.0,7.0
ensemble,2023-10-14,40,2,2023-10-28,10.0,29.5,9.846576714536287,19.5,5.0
ensemble,2023-10-14,40,3,2023-11-04,18.0,30.43249443971187,7.994074993946887,12.43249443971187,3.0
ensemble,2023-10-14,41,1,2023-10-21,8.0,8.225838267888841,1.6071740427801888,0.22583826788884132,2.0
ensemble,2023-10-14,41,2,2023-10-28,14.0,10.0,3.110863676027685,4.0,8.0
ensemble,2023-10-14,41,3,2023-11-04,6.0,10.471,2.754167701586161,4.471,0.0
ensemble,2023-10-14,42,1,2023-10-21,43.0,64.5,12.49130125913254,21.5,2.0
ensemble,2023-10-14,42,2,2023-10-28,50.0,69.35203147118696,11.603968893145456,19.35203147118696,9.0
ensemble,2023-10-14,42,3,2023-11-04,39.0,72.112955142982,20.37617680792946,33.112955142982,2.0
ensemble,2023-10-14,44,1,2023-10-21,0.0,1.43,0.8253361578355825,1.43,1.0
ensemble,2023-10-14,44,2,2023-10-28,1.0,2.0,0.7785093469566996,1.0,0.0
ensemble,2023-10-14,44,3,2023-11-04,0.0,1.43,0.8733227548928371,1.43,1.0
ensemble,2023-10-14,45,1,2023-10-21,32.0,29.5,4.312124233195961,2.5,10.0
ensemble,2023-10-14,45,2,2023-10-28,21.0,29.298232385999057,5.885155669331017,8.298232385999057,1.0
ensemble,2023-10-14,45,3,2023-11-04,45.0,30.44829236684764,8.434619700367849,14.551707633152361,23.0
ensemble,2023-10-14,46,1,2023-10-21,2.0,2.471,0.889726559311496,0.4710000000000001,2.0
ensemble,2023-10-14,46,2,2023-10-28,3.0,2.939795775413515,0.9376466523290741,0.06020422458648511,3.0
ensemble,2023-10-14,46,3,2023-11-04,1.0,2.098,1.1599050691853428,1.0979999999999999,1.0
ensemble,2023-10-14,47,1,2023-10-21,43.0,46.740174478258695,5.863668063379345,3.7401744782586945,14.0
ensemble,2023-10-14,47,2,2023-10-28,44.0,49.00832436871367,6.159227214278168,5.008324368713673,15.0
ensemble,2023-10-14,47,3,2023-11-04,44.0,50.18567915678024,8.654513438663496,6.185679156780239,15.0
ensemble,2023-10-14,48,1,2023-10-21,242.0,145.228,54.221177241181216,96.77199999999999,130.0
ensemble,2023-10-14,48,2,2023-10-28,246.0,157.0,45.80263177131593,89.0,134.0
ensemble,2023-10-14,48,3,2023-11-04,305.0,157.78,68.82004819203257,147.22,193.0
ensemble,2023-10-14,49,1,2023-10-21,9.0,4.746805,2.3701385945829454,4.253195,5.0
ensemble,2023-10-14,49,2,2023-10-28,5.0,5.197105,1.4219381142353453,0.19710499999999964,1.0
ensemble,2023-10-14,49,3,2023-11-04,9.0,5.629075,2.343279303516158,3.3709249999999997,5.0
ensemble,2023-10-14,50,1,2023-10-21,2.0,1.2,0.5972514222605672,0.8,2.0
ensemble,2023-10-14,50,2,2023-10-28,0.0,1.5,0.9890149535529611,1.5,0.0
ensemble,2023-10-14,50,3,2023-11-04,0.0,1.69,1.0683395237360096,1.69,0.0
ensemble,2023-10-14,51,1,2023-10-21,72.0,62.0,7.006967683416437,10.0,22.0
ensemble,2023-10-14,51,2,2023-10-28,61.0,64.0,6.978526242740312,3.0,11.0
ensemble,2023-10-14,51,3,2023-11-04,51.0,66.36,11.395874627562629,15.36,1.0
ensemble,2023-10-14,53,1,2023-10-21,11.0,47.0,23.093201535992748,36.0,7.0
ensemble,2023-10-14,53,2,2023-10-28,8.0,52.0,26.425453918390698,44.0,4.0
ensemble,2023-10-14,53,3,2023-11-04,17.0,54.46461275339124,23.215088898859197,37.46461275339124,13.0
ensemble,2023-10-14,54,1,2023-10-21,3.0,7.0,2.45494568216987,4.0,1.0
ensemble,2023-10-14,54,2,2023-10-28,4.0,7.469,2.593467458653247,3.4690000000000003,2.0
ensemble,2023-10-14,54,3,2023-11-04,7.0,6.999999999999999,2.069037777382193,8.881784197001252e-16,5.0
ensemble,2023-10-14,55,1,2023-10-21,4.0,12.09,3.432830214794139,8.09,6.0
ensemble,2023-10-14,55,2,2023-10-28,7.0,12.037517559528345,5.284883566870511,5.037517559528345,3.0
ensemble,2023-10-14,55,3,2023-11-04,16.0,14.72,6.922991421457432,1.2799999999999994,6.0
ensemble,2023-10-14,56,1,2023-10-21,5.0,2.95,1.1996693016703899,2.05,1.0
ensemble,2023-10-14,56,2,2023-10-28,0.0,3.0,1.924522073402589,3.0,6.0
ensemble,2023-10-14,56,3,2023-11-04,1.0,3.0,1.468475543712957,2.0,5.0
ensemble,2023-10-21,01,1,2023-10-28,32.0,26.0,4.219534861789017,6.0,6.0
ensemble,2023-10-21,01,2,2023-11-04,37.0,28.0,5.430728636572643,9.0,11.0
ensemble,2023-10-21,01,3,2023-11-11,60.0,28.01903615025394,16.61582883313753,31.98096384974606,34.0
ensemble,2023-10-21,02,1,2023-10-28,30.0,9.739,13.880338358090397,20.261,16.0
ensemble,2023-10-21,02,2,2023-11-04,33.0,9.7453225,15.746023943440708,23.2546775,19.0
ensemble,2023-10-21,02,3,2023-11-11,39.0,10.1817123776348,19.797996855342575,28.818287622365197,25.0
ensemble,2023-10-21,04,1,2023-10-28,49.0,20.87,16.35741889629544,28.13,28.0
ensemble,2023-10-21,04,2,2023-11-04,51.0,23.04,13.224646317585806,27.96,30.0
ensemble,2023-10-21,04,3,2023-11-11,132.0,25.1945,75.0681789564742,106.8055,111.0
ensemble,2023-10-21,05,1,2023-10-28,13.0,15.669,2.5106985693188104,2.6690000000000005,2.0
ensemble,2023-10-21,05,2,2023-11-04,18.0,19.1,3.6860265060165993,1.1000000000000014,3.0
ensemble,2023-10-21,05,3,2023-11-11,24.0,19.5825,4.890009713046773,4.4175,9.0
ensemble,2023-10-21,06,1,2023-10-28,76.0,66.0,10.599194376517483,10.0,15.0
ensemble,2023-10-21,06,2,2023-11-04,97.0,67.0,17.169022237577405,30.0,36.0
ensemble,2023-10-21,06,3,2023-11-11,222.0,72.52963992439706,88.04594731923582,149.47036007560294,161.0
ensemble,2023-10-21,08,1,2023-10-28,19.0,13.164187228679658,3.582741998906158,5.835812771320342,4.0
ensemble,2023-10-21,08,2,2023-11-04,31.0,13.90819169898234,9.579046798242922,17.091808301017657,16.0
ensemble,2023-10-21,08,3,2023-11-11,52.0,15.535772212687135,23.172053852223645,36.464227787312865,37.0
ensemble,2023-10-21,09,1,2023-10-28,7.0,7.295403686011163,1.8216270348248798,0.29540368601116285,4.0
ensemble,2023-10-21,09,2,2023-11-04,12.0,8.93753968142857,2.4589121065867774,3.0624603185714303,9.0
ensemble,2023-10-21,09,3,2023-11-11,5.0,10.2058752812437,3.1859955660877888,5.205875281243699,2.0
ensemble,2023-10-21,10,1,2023-10-28,1.0,1.1881355248294516,0.5664271666123196,0.18813552482945162,1.0
ensemble,2023-10-21,10,2,2023-11-04,1.0,1.64,0.7573600634445807,0.6399999999999999,1.0
ensemble,2023-10-21,10,3,2023-11-11,1.0,2.174836636168523,0.8350024785625464,1.1748366361685232,1.0
ensemble,2023-10-21,11,1,2023-10-28,1.0,2.9480817781962165,1.032450575612965,1.9480817781962165,1.0
ensemble,2023-10-21,11,2,2023-11-04,0.0,3.1155,2.1892772035591626,3.1155,2.0
ensemble,2023-10-21,11,3,2023-11-11,0.0,3.3688600546121603,2.1768980963023736,3.3688600546121603,2.0
ensemble,2023-10-21,12,1,2023-10-28,313.0,231.0,41.05720089197016,82.0,98.0
ensemble,2023-10-21,12,2,2023-11-04,444.0,233.51214735154664,112.08277145307048,210.48785264845336,229.0
ensemble,2023-10-21,12,3,2023-11-11,462.0,233.0,115.06230542649979,229.0,247.0
ensemble,2023-10-21,13,1,2023-10-28,40.0,34.97029384169435,4.561702423912076,5.02970615830565,1.0
