Mmwrweek_end,Level,State,Tests,Detections,Percent_pos,Subtype,Pathogen,Posted,Tests_3wma,Detections_5wma,Percent_Pos_3wma
,,,.,.,.,,,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,National,,6094,250,4.10,Combined Type,Adenovirus,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,National,,,,0.16,229E,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,National,,4895,32,0.65,Combined Type,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,National,,,,0.25,HKU1,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,National,,,,0.08,NL63,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,National,,,,0.16,OC43,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,National,,6281,131,2.09,Combined Type,HMPV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,National,,6275,285,4.54,Combined Type,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,National,,,,0.83,PIV 1,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,National,,,,0.10,PIV 2,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,National,,,,3.52,PIV 3,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,National,,,,0.10,PIV 4,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,National,,7227,97,1.34,Combined Type,RSV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,National,,6188,1085,17.53,Combined Type,RV/EV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 1,,246,5,2.03,,Adenovirus,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 1,,,,0.00,229E,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 1,,28,0,0.00,Combined Type,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 1,,,,0.00,HKU1,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 1,,,,0.00,NL63,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 1,,,,0.00,OC43,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 1,,*,*,1.28,,HMPV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 1,,234,6,2.56,Combined Type,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 1,,,,0.43,PIV 1,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 1,,,,0.00,PIV 2,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 1,,,,2.14,PIV 3,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 1,,,,0.00,PIV 4,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 1,,*,*,1.33,,RSV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 1,,233,33,14.16,,RV/EV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 10,,293,13,4.44,,Adenovirus,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 10,,,,0.00,229E,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 10,,224,0,0.00,Combined Type,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 10,,,,0.00,HKU1,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 10,,,,0.00,NL63,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 10,,,,0.00,OC43,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 10,,293,8,2.73,,HMPV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 10,,289,22,7.61,Combined Type,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 10,,,,0.00,PIV 1,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 10,,,,0.00,PIV 2,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 10,,,,7.61,PIV 3,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 10,,,,0.00,PIV 4,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 10,,430,10,2.33,,RSV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 10,,289,56,19.38,,RV/EV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 2,,902,29,3.22,,Adenovirus,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 2,,,,0.22,229E,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 2,,902,6,0.67,Combined Type,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 2,,,,0.22,HKU1,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 2,,,,0.11,NL63,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 2,,,,0.11,OC43,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 2,,902,19,2.11,,HMPV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 2,,902,60,6.65,Combined Type,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 2,,,,2.22,PIV 1,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 2,,,,0.11,PIV 2,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 2,,,,3.99,PIV 3,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 2,,,,0.33,PIV 4,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 2,,1023,5,0.49,,RSV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 2,,902,143,15.85,,RV/EV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 3,,425,20,4.71,,Adenovirus,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 3,,,,0.26,229E,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 3,,*,*,0.51,Combined Type,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 3,,,,0.26,HKU1,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 3,,,,0.00,NL63,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 3,,,,0.00,OC43,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 3,,424,9,2.12,,HMPV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 3,,425,23,5.41,Combined Type,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 3,,,,0.47,PIV 1,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 3,,,,0.00,PIV 2,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 3,,,,4.94,PIV 3,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 3,,,,0.00,PIV 4,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 3,,440,7,1.59,,RSV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 3,,427,84,19.67,,RV/EV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 4,,972,35,3.60,,Adenovirus,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 4,,,,0.13,229E,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 4,,784,9,1.15,Combined Type,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 4,,,,0.51,HKU1,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 4,,,,0.26,NL63,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 4,,,,0.26,OC43,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 4,,977,21,2.15,,HMPV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 4,,972,35,3.60,Combined Type,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 4,,,,0.62,PIV 1,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 4,,,,0.10,PIV 2,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 4,,,,2.67,PIV 3,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 4,,,,0.21,PIV 4,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 4,,1083,25,2.31,,RSV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 4,,973,141,14.49,,RV/EV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 5,,1159,43,3.71,,Adenovirus,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 5,,,,0.29,229E,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 5,,1032,5,0.48,Combined Type,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 5,,,,0.10,HKU1,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 5,,,,0.00,NL63,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 5,,,,0.10,OC43,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 5,,1294,29,2.24,,HMPV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 5,,1270,59,4.65,Combined Type,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 5,,,,0.63,PIV 1,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 5,,,,0.08,PIV 2,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 5,,,,3.94,PIV 3,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 5,,,,0.00,PIV 4,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 5,,1593,19,1.19,,RSV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 5,,1269,245,19.31,,RV/EV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 6,,959,56,5.84,,Adenovirus,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 6,,,,0.14,229E,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 6,,739,7,0.95,Combined Type,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 6,,,,0.41,HKU1,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 6,,,,0.14,NL63,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 6,,,,0.27,OC43,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 6,,1021,25,2.45,,HMPV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 6,,1047,24,2.29,Combined Type,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 6,,,,0.96,PIV 1,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 6,,,,0.19,PIV 2,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 6,,,,1.15,PIV 3,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 6,,,,0.00,PIV 4,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 6,,1134,20,1.76,,RSV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 6,,957,184,19.23,,RV/EV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 7,,220,13,5.91,,Adenovirus,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 7,,,,0.00,229E,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 7,,*,*,0.97,Combined Type,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 7,,,,0.48,HKU1,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 7,,,,0.00,NL63,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 7,,,,0.48,OC43,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 7,,220,9,4.09,,HMPV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 7,,220,11,5.00,Combined Type,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 7,,,,0.45,PIV 1,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 7,,,,0.45,PIV 2,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 7,,,,4.09,PIV 3,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 7,,,,0.00,PIV 4,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 7,,*,*,0.53,,RSV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 7,,220,62,28.18,,RV/EV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 8,,474,16,3.38,,Adenovirus,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 8,,,,0.00,229E,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 8,,*,*,0.21,Combined Type,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 8,,,,0.00,HKU1,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 8,,,,0.00,NL63,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 8,,,,0.21,OC43,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 8,,472,8,1.69,,HMPV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 8,,472,25,5.30,Combined Type,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 8,,,,0.64,PIV 1,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 8,,,,0.00,PIV 2,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 8,,,,4.66,PIV 3,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 8,,,,0.00,PIV 4,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 8,,*,*,0.39,,RSV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 8,,472,85,18.01,,RV/EV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 9,,444,20,4.50,,Adenovirus,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 9,,,,0.00,229E,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 9,,117,0,0.00,Combined Type,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 9,,,,0.00,HKU1,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 9,,,,0.00,NL63,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 9,,,,0.00,OC43,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 9,,444,0,0.00,,HMPV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 9,,444,20,4.50,Combined Type,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 9,,,,0.23,PIV 1,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 9,,,,0.00,PIV 2,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 9,,,,4.05,PIV 3,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 9,,,,0.23,PIV 4,PIV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 9,,*,*,0.76,,RSV,09/04/2026 12:00:00 AM,.,.,.
07/06/2019 12:00:00 AM,Region 9,,446,52,11.66,,RV/EV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,National,,6625,265,4.00,Combined Type,Adenovirus,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,National,,,,0.21,229E,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,National,,5227,43,0.82,Combined Type,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,National,,,,0.34,HKU1,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,National,,,,0.13,NL63,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,National,,,,0.13,OC43,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,National,,6719,119,1.77,Combined Type,HMPV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,National,,6743,297,4.40,Combined Type,PIV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,National,,,,0.87,PIV 1,PIV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,National,,,,0.12,PIV 2,PIV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,National,,,,3.16,PIV 3,PIV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,National,,,,0.25,PIV 4,PIV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,National,,7555,112,1.48,Combined Type,RSV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,National,,6600,1092,16.55,Combined Type,RV/EV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 1,,274,11,4.01,,Adenovirus,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 1,,,,0.00,229E,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 1,,33,0,0.00,Combined Type,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 1,,,,0.00,HKU1,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 1,,,,0.00,NL63,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 1,,,,0.00,OC43,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 1,,*,*,0.40,,HMPV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 1,,*,*,0.80,Combined Type,PIV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 1,,,,0.00,PIV 1,PIV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 1,,,,0.00,PIV 2,PIV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 1,,,,0.40,PIV 3,PIV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 1,,,,0.40,PIV 4,PIV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 1,,*,*,0.32,,RSV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 1,,244,29,11.89,,RV/EV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 10,,303,6,1.98,,Adenovirus,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 10,,,,0.00,229E,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 10,,*,*,0.88,Combined Type,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 10,,,,0.00,HKU1,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 10,,,,0.00,NL63,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 10,,,,0.88,OC43,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 10,,303,8,2.64,,HMPV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 10,,299,17,5.69,Combined Type,PIV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 10,,,,0.00,PIV 1,PIV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 10,,,,0.00,PIV 2,PIV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 10,,,,5.69,PIV 3,PIV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 10,,,,0.00,PIV 4,PIV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 10,,*,*,0.51,,RSV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 10,,299,45,15.05,,RV/EV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 2,,973,31,3.19,,Adenovirus,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 2,,,,0.21,229E,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 2,,972,8,0.82,Combined Type,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 2,,,,0.21,HKU1,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 2,,,,0.10,NL63,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 2,,,,0.31,OC43,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 2,,972,15,1.54,,HMPV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 2,,972,58,5.97,Combined Type,PIV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 2,,,,1.95,PIV 1,PIV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 2,,,,0.21,PIV 2,PIV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 2,,,,3.40,PIV 3,PIV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 2,,,,0.41,PIV 4,PIV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 2,,1094,17,1.55,,RSV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 2,,973,133,13.67,,RV/EV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 3,,466,15,3.22,,Adenovirus,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 3,,,,0.46,229E,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 3,,*,*,0.69,Combined Type,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 3,,,,0.00,HKU1,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 3,,,,0.23,NL63,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 3,,,,0.00,OC43,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 3,,466,9,1.93,,HMPV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 3,,469,18,3.84,Combined Type,PIV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 3,,,,0.64,PIV 1,PIV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 3,,,,0.00,PIV 2,PIV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 3,,,,3.20,PIV 3,PIV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 3,,,,0.00,PIV 4,PIV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 3,,485,8,1.65,,RSV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 3,,466,87,18.67,,RV/EV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 4,,1058,37,3.50,,Adenovirus,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 4,,,,0.12,229E,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 4,,834,8,0.96,Combined Type,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 4,,,,0.60,HKU1,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 4,,,,0.00,NL63,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 4,,,,0.24,OC43,HCOV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 4,,1059,27,2.55,,HMPV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 4,,1058,38,3.59,Combined Type,PIV,09/04/2026 12:00:00 AM,.,.,.
07/13/2019 12:00:00 AM,Region 4,,,,1.32,PIV 1,PIV,09/04/2026 12:00:00 AM,.,.,.
